"","sample_id","project","s_project","organ","marker","type","control_type","code","Family","Genus","Species","name"
"DRYER_natura_root_16S_1_NA","DRYER_natura_root_16S_1_NA","DRYER","natura","root","16S","sample",NA,"1","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_10_NA","DRYER_natura_root_16S_10_NA","DRYER","natura","root","16S","sample",NA,"10","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_11_NA","DRYER_natura_root_16S_11_NA","DRYER","natura","root","16S","sample",NA,"11","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_12_NA","DRYER_natura_root_16S_12_NA","DRYER","natura","root","16S","sample",NA,"12","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_13_NA","DRYER_natura_root_16S_13_NA","DRYER","natura","root","16S","sample",NA,"13","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_14_NA","DRYER_natura_root_16S_14_NA","DRYER","natura","root","16S","sample",NA,"14","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_15_NA","DRYER_natura_root_16S_15_NA","DRYER","natura","root","16S","sample",NA,"15","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_16_NA","DRYER_natura_root_16S_16_NA","DRYER","natura","root","16S","sample",NA,"16","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_17_NA","DRYER_natura_root_16S_17_NA","DRYER","natura","root","16S","sample",NA,"17","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_18_NA","DRYER_natura_root_16S_18_NA","DRYER","natura","root","16S","sample",NA,"18","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_19_NA","DRYER_natura_root_16S_19_NA","DRYER","natura","root","16S","sample",NA,"19","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_2_NA","DRYER_natura_root_16S_2_NA","DRYER","natura","root","16S","sample",NA,"2","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_20_NA","DRYER_natura_root_16S_20_NA","DRYER","natura","root","16S","sample",NA,"20","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_21_NA","DRYER_natura_root_16S_21_NA","DRYER","natura","root","16S","sample",NA,"21","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_22_NA","DRYER_natura_root_16S_22_NA","DRYER","natura","root","16S","sample",NA,"22","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_23_NA","DRYER_natura_root_16S_23_NA","DRYER","natura","root","16S","sample",NA,"23","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_24_NA","DRYER_natura_root_16S_24_NA","DRYER","natura","root","16S","sample",NA,"24","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_25_NA","DRYER_natura_root_16S_25_NA","DRYER","natura","root","16S","sample",NA,"25","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_26_NA","DRYER_natura_root_16S_26_NA","DRYER","natura","root","16S","sample",NA,"26","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_27_NA","DRYER_natura_root_16S_27_NA","DRYER","natura","root","16S","sample",NA,"27","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_28_NA","DRYER_natura_root_16S_28_NA","DRYER","natura","root","16S","sample",NA,"28","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_29_NA","DRYER_natura_root_16S_29_NA","DRYER","natura","root","16S","sample",NA,"29","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_3_NA","DRYER_natura_root_16S_3_NA","DRYER","natura","root","16S","sample",NA,"3","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_30_NA","DRYER_natura_root_16S_30_NA","DRYER","natura","root","16S","sample",NA,"30","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_31_NA","DRYER_natura_root_16S_31_NA","DRYER","natura","root","16S","sample",NA,"31","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_32_NA","DRYER_natura_root_16S_32_NA","DRYER","natura","root","16S","sample",NA,"32","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_33_NA","DRYER_natura_root_16S_33_NA","DRYER","natura","root","16S","sample",NA,"33","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_34_NA","DRYER_natura_root_16S_34_NA","DRYER","natura","root","16S","sample",NA,"34","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_35_NA","DRYER_natura_root_16S_35_NA","DRYER","natura","root","16S","sample",NA,"35","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_36_NA","DRYER_natura_root_16S_36_NA","DRYER","natura","root","16S","sample",NA,"36","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_4_NA","DRYER_natura_root_16S_4_NA","DRYER","natura","root","16S","sample",NA,"4","Fabaceae","Tachigali","melinonii","Tachigali_melinonii"
"DRYER_natura_root_16S_42_NA","DRYER_natura_root_16S_42_NA","DRYER","natura","root","16S","sample",NA,"42","Fabaceae","Tachigali","melinonii","Tachigali_melinonii"
"DRYER_natura_root_16S_43_NA","DRYER_natura_root_16S_43_NA","DRYER","natura","root","16S","sample",NA,"43","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_44_NA","DRYER_natura_root_16S_44_NA","DRYER","natura","root","16S","sample",NA,"44","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_45_NA","DRYER_natura_root_16S_45_NA","DRYER","natura","root","16S","sample",NA,"45","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_47_NA","DRYER_natura_root_16S_47_NA","DRYER","natura","root","16S","sample",NA,"47","Fabaceae","Tachigali","melinonii","Tachigali_melinonii"
"DRYER_natura_root_16S_49_NA","DRYER_natura_root_16S_49_NA","DRYER","natura","root","16S","sample",NA,"49","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_5_NA","DRYER_natura_root_16S_5_NA","DRYER","natura","root","16S","sample",NA,"5","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_50_NA","DRYER_natura_root_16S_50_NA","DRYER","natura","root","16S","sample",NA,"50","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_51_NA","DRYER_natura_root_16S_51_NA","DRYER","natura","root","16S","sample",NA,"51","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_52_NA","DRYER_natura_root_16S_52_NA","DRYER","natura","root","16S","sample",NA,"52","Fabaceae","Eperua","falcata","Eperua_falcata"
"DRYER_natura_root_16S_53_NA","DRYER_natura_root_16S_53_NA","DRYER","natura","root","16S","sample",NA,"53","Fabaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_54_NA","DRYER_natura_root_16S_54_NA","DRYER","natura","root","16S","sample",NA,"54","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_55_NA","DRYER_natura_root_16S_55_NA","DRYER","natura","root","16S","sample",NA,"55","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_56_NA","DRYER_natura_root_16S_56_NA","DRYER","natura","root","16S","sample",NA,"56","Fabaceae","Tachigali","melinonii","Tachigali_melinonii"
"DRYER_natura_root_16S_57_NA","DRYER_natura_root_16S_57_NA","DRYER","natura","root","16S","sample",NA,"57","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_58_NA","DRYER_natura_root_16S_58_NA","DRYER","natura","root","16S","sample",NA,"58","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_59_NA","DRYER_natura_root_16S_59_NA","DRYER","natura","root","16S","sample",NA,"59","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_6_NA","DRYER_natura_root_16S_6_NA","DRYER","natura","root","16S","sample",NA,"6","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_60_NA","DRYER_natura_root_16S_60_NA","DRYER","natura","root","16S","sample",NA,"60","Fabaceae","Pterocarpus","officinalis","Pterocarpus_officinalis"
"DRYER_natura_root_16S_63_NA","DRYER_natura_root_16S_63_NA","DRYER","natura","root","16S","sample",NA,"63","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_64_NA","DRYER_natura_root_16S_64_NA","DRYER","natura","root","16S","sample",NA,"64","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_65_NA","DRYER_natura_root_16S_65_NA","DRYER","natura","root","16S","sample",NA,"65","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_66_NA","DRYER_natura_root_16S_66_NA","DRYER","natura","root","16S","sample",NA,"66","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_67_NA","DRYER_natura_root_16S_67_NA","DRYER","natura","root","16S","sample",NA,"67","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_68_NA","DRYER_natura_root_16S_68_NA","DRYER","natura","root","16S","sample",NA,"68","Myristicaceae","Virola","surinamensis","Virola_surinamensis"
"DRYER_natura_root_16S_69_NA","DRYER_natura_root_16S_69_NA","DRYER","natura","root","16S","sample",NA,"69","Fabaceae","Tachigali","melinonii","Tachigali_melinonii"
"DRYER_natura_root_16S_7_NA","DRYER_natura_root_16S_7_NA","DRYER","natura","root","16S","sample",NA,"7","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
"DRYER_natura_root_16S_70_NA","DRYER_natura_root_16S_70_NA","DRYER","natura","root","16S","sample",NA,"70","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_71_NA","DRYER_natura_root_16S_71_NA","DRYER","natura","root","16S","sample",NA,"71","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_72_NA","DRYER_natura_root_16S_72_NA","DRYER","natura","root","16S","sample",NA,"72","Bignoniaceae","Jacaranda","copaia","Jacaranda_copaia"
"DRYER_natura_root_16S_8_NA","DRYER_natura_root_16S_8_NA","DRYER","natura","root","16S","sample",NA,"8","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera"
"DRYER_natura_root_16S_9_NA","DRYER_natura_root_16S_9_NA","DRYER","natura","root","16S","sample",NA,"9","Myristicaceae","Iryanthera","hostmannii","Iryanthera_hostmannii"
